link;scrapeado
/Restaurant_Review-g294074-d10538073-Reviews-El_Perrino_Cafe_y_Pelicula-Bogota.html;False
/Restaurant_Review-g294074-d1054031-Reviews-Bogota_Fusion-Bogota.html;False
/Restaurant_Review-g294074-d10540810-Reviews-Fogon_Sangileno-Bogota.html;False
/Restaurant_Review-g294074-d10544292-Reviews-ONE_Pizzeria-Bogota.html;False
/Restaurant_Review-g294074-d10555120-Reviews-Pescaderia_Casa_Castelblanco-Bogota.html;False
/Restaurant_Review-g294074-d10555150-Reviews-Mantram-Bogota.html;False
/Restaurant_Review-g294074-d10558473-Reviews-Alioli-Bogota.html;False
/Restaurant_Review-g294074-d1058016-Reviews-Noura-Bogota.html;False
/Restaurant_Review-g294074-d10583031-Reviews-Cigarral-Bogota.html;False
/Restaurant_Review-g294074-d10583067-Reviews-OMA_Cafe-Bogota.html;False
/Restaurant_Review-g294074-d10584158-Reviews-La_enramada-Bogota.html;False
/Restaurant_Review-g294074-d1058446-Reviews-Brisa_marina-Bogota.html;False
/Restaurant_Review-g294074-d10587137-Reviews-Freshii_Andino-Bogota.html;False
/Restaurant_Review-g294074-d10592012-Reviews-Mile_Cafe-Bogota.html;False
/Restaurant_Review-g294074-d10592269-Reviews-La_chorizeria-Bogota.html;False
/Restaurant_Review-g294074-d10598281-Reviews-Mile_Cafe-Bogota.html;False
/Restaurant_Review-g294074-d1060004-Reviews-Bar_Restaurante_Sepulveda_Tapas-Bogota.html;False
/Restaurant_Review-g294074-d1061299-Reviews-Diner-Bogota.html;False
/Restaurant_Review-g294074-d10618549-Reviews-Amen_Ramen-Bogota.html;False
/Restaurant_Review-g294074-d10619598-Reviews-Poblano-Bogota.html;False
/Restaurant_Review-g294074-d10623539-Reviews-Arepas_La_Reina-Bogota.html;False
/Restaurant_Review-g294074-d10625472-Reviews-Pieta_Lasagna_Artesanal-Bogota.html;False
/Restaurant_Review-g294074-d10625848-Reviews-Restaurante_Berenjena-Bogota.html;False
/Restaurant_Review-g294074-d10627391-Reviews-La_Estiba_Art_Cocktails-Bogota.html;False
/Restaurant_Review-g294074-d10630455-Reviews-El_Vacan_Horno_y_Carbon-Bogota.html;False
/Restaurant_Review-g294074-d10634386-Reviews-Sinergia_Cocina_en_movimiento-Bogota.html;False
/Restaurant_Review-g294074-d10636688-Reviews-Shala_Cafe_Restaurante-Bogota.html;False
/Restaurant_Review-g294074-d10637684-Reviews-Chuck_E_Cheese_s-Bogota.html;False
/Restaurant_Review-g294074-d10639236-Reviews-Carbon_De_Palo-Bogota.html;False
/Restaurant_Review-g294074-d10639855-Reviews-Think_Green-Bogota.html;False
/Restaurant_Review-g294074-d10640567-Reviews-Ardente_Cafe-Bogota.html;False
