"titulo","ano","duracion","pais","direccion","guion","musica","fotografia","reparto","productora","genero","sinopsis","criticas","premios"
"Launchpad: The Last of the Chupacabras","2021","13 min.","Estados Unidos","Jessica Mendez Siqueiros","Jessica Mendez Siqueiros","Renee Goust","Meena Singh","Melba Martinez, Cici Lau, Seven True-Divine Purnell, William Knight","Walt Disney Pictures. Distribuidora: Disney+","Fantástico | Vejez / Madurez. Cortometraje","En un mundo donde la cultura casi ha desaparecido, una mujer mexicoamericana solitaria que lucha por perpetuar sus tradiciones invoca sin querer una oscura y antigua criatura para protegerla.",NA,NA
"Maggie Simpson in The Force Awakens From Its Nap","2021","3 min.","Estados Unidos","David Silverman","Joel H. Cohen, Al Jean, Michael Price. Personajes: Matt Groening, George Lucas",NA,"Animación","Animación","Gracie Films, 20th Television. Distribuidora: Disney+","Animación. Comedia. Ciencia ficción | Parodia. Los Simpson. Star Wars. Cortometraje (animación)","En una guardería muy, muy lejana, pero aún en Springfield, Maggie está en una búsqueda épica de su chupete robado. Su aventura implica verse cara a cara con jóvenes padawans, señores Sith, droides familiares, escoria rebelde y una batalla definitiva contra el lado oscuro. Corto especial de Los Simpson y Star Wars.",NA,"2021: Emmy: Nominado a mejor programa de animación (formato corto)"
"Launchpad: The Little Prince(ss)","2021","18 min.","Estados Unidos","Moxie Peng","Moxie Peng","Rob Rusli","Marcus Patterson","Kalo Moss, Ching Yin Ryan Hu, Evan Lai, Brian Yang, Lynn Chen, Danni Wang, Yvette Tucker, Ellarose Kaylor, Dallas Skye, Donnie Masihi, Atticus Macvie","Walt Disney Pictures. Distribuidora: Disney+","Drama | Cortometraje","Cuando Gabriel, un niño chino de 7 años al que le encanta el ballet, se hace amigo de Rob, otro niño chino de su colegio, el padre de Rob sospecha del comportamiento femenino de Gabriel y decide intervenir.","""Un corto simple de una enorme sensibilidad (...) El resultado es sencillamente emocionante."" 
Milagros Amondaray: Diario La Nación",NA
"Launchpad: Let's Be Tigers","2021","14 min.","Estados Unidos","Stefanie Abel Horowitz","Stefanie Abel Horowitz","Tangelene Bolton","Matthew Pothier","Otmara Marrero, Dash McCloud, Greg Worswick, Mike Millan","Walt Disney Pictures. Distribuidora: Disney+","Drama | Cortometraje","Avalon no está lista para aceptar la muerte de su madre, pero, cuando se queda toda la noche a cargo de un niño de 4 años, encuentra más consuelo del que esperaba.",NA,NA
"Launchpad: Dinner Is Served","2021","20 min.","China","Zheng Hao","G. Wilson, Zheng Hao","Xueran Chen",NA,"Qi Sun, Briana Liu, Ben Wang, Harry Jarvis, Ray Wise, DeJean Brown, Leann Lei, Ty Doran, Deacon Ledges, Jim Nieb, Judy Kain, David Chattam","Walt Disney Pictures. Distribuidora: Disney+","Drama | Cortometraje","Un alumno chino revela su identidad intentando conseguir un puesto líder en una academia de EE.UU.",NA,NA
"Launchpad: Growing Fangs","2021","18 min.","Estados Unidos","Ann Marie Pace","Ann Marie Pace","Adrianne Gonzalez","Idan Menin","Keyla Monterroso Mejia, Cristela Alonzo, Grace Song, Olivia Sullivent, Gilberto Ortiz, Sean Burgos, Terry Hoyos, Yonas Kibreab, Zainab Johnson, Mirelle Sophia, Nicole Goosby, Stevie Jean Placek","Walt Disney Pictures. Distribuidora: Disney+","Comedia. Fantástico | Vampiros. Adolescencia. Cortometraje","Val García, adolescente mexicoamericana mitad humana mitad vampira lucha por encajar en ambos mundos. ",NA,NA
"Launchpad: American Eid","2021","21 min.","Estados Unidos","Aqsa Altaf","Aqsa Altaf","Siddhartha Khosla",NA,"Shanessa Khawaja, Jenna Qureshi, Cash Kingston Herrera, Fazeelat Aslam, Maya Bednarek, Iris Starlett Perry, Hilary Ward, Ismail Bashey, Mikee Castillo, Charlie Reddix, Tyler David Anderson, Raheela Mahmood, Mark Anthony Williams, Barbara Lee Bragg, Karen Teliha, Su Jung Lee, Amber Dukever 4 más","Walt Disney Pictures. Distribuidora: Disney+","Drama | Cortometraje","Ameena, una inmigrante paquistaní musulmana, se levanta en el Eid y descubre que debe ir al colegio. Nostálgica y desconsolada, se proponer hacer del Eid festivo en la educación pública y, durante el proceso, vuelve a conectar con su hermana mayor y acepta su nuevo hogar, el cual también la acepta a ella.",NA,NA
"Nomadland","2020","108 min.","Estados Unidos","Chloé Zhao","Chloé Zhao. Libro: Jessica Bruder","Ludovico Einaudi","Joshua James Richards","Frances McDormand, David Strathairn, Linda May, Charlene Swankie, Bob Wells, Gay DeForest, Patricia Grier","Highwayman Films, Cor Cordium Productions, Hear/Say Productions. Distribuidora: Searchlight Pictures, Walt Disney Pictures","Drama | Road Movie. Crisis económica 2008. Cine independiente USA","Una mujer, después de perderlo todo durante la recesión, se embarca en un viaje hacia el Oeste americano viviendo como una nómada en una caravana. Tras el colapso económico que afectó también a su ciudad en la zona rural de Nevada, Fern toma su camioneta y se pone en camino para explorar una vida fuera de la sociedad convencional, como nómada moderna. 

Estreno en cines España: 26 marzo 2021.
Estreno en Disney+ Star (sin coste adicional): 30 abril 2021.","""Es un hermoso retrato de unas personas que tal vez tengan una vida muy diferente a la que tenemos la mayoría de los espectadores. Pero, al final, todos nos veremos de una o de otra forma, reflejados en ellos. Puntuación: ★★★★ (sobre 5)"" 
André Didyme-Dome: Rolling Stone Colombia
""Frances McDormand ofrece la interpretación de su carrera (...) Una película amable, compasiva e inquisitiva sobre el alma americana (...) Puntuación: ★★★★★ (sobre 5)"" 
Peter Bradshaw: The Guardian
""Una maravilla de empatía e introspección (...) Los resultados son más profundos que en 'Into the Wild' (...) aunque McClandless seguramente la habría aprobado"" 
Peter Debruge: Variety
""Un retrato único de la existencia de los marginados (...) Si te deslizas en su ritmo reflexivo, encontrarás belleza, paz e incluso comodidad"" 
David Rooney: The Hollywood Reporter
""Chloé Zhao merece cada premio imaginable (...) Única e inolvidable"" 
Peter Travers: ABC News
""Chloé Zao hace magia con el rostro de McDormand y el mundo que la rodea, ofreciendo una profunda reflexión sobre el impulso de dejar atrás la sociedad"" 
Eric Kohn: IndieWire
""Una película sabia y hermosa, invocada enteramente desde lo auténticamente visto, sentido y pensado (...) Te hace mirar el cielo de forma un poco diferente y sentirte conectado con los vastos espacios abiertos del mundo"" 
Jessica Kiang: The Playlist
Mostrar 25 críticas más","2021: Premios Guldbagge (Suecia): Nominada a mejor película extranjera
2020: 3 Premios Oscar: Mejor película, dirección y actriz (McDormand). 6 nomin.
2020: 2 Globos de Oro: Mejor película drama y dirección. 4 nominaciones
2020: 4 Premios BAFTA: Mejor película, dirección, actriz y fotografía. 7 nominaciones
2020: Festival de Venecia: León de Oro (mejor película)
2020: Festival de Toronto: Premio del público (Mejor película)
Mostrar 16 premios más
2020: National Board of Review (NBR): Top 10 y Mejor fotografía
2020: American Film Institute (AFI): Top 10 - Mejores películas del año
2020: Critics Choice Awards: Mejor película, dirección, guion adaptado y fotografía
2020: 4 Premios Independent Spirit: Mejor película, dirección, fotografía y montaje
2020: Círculo de Críticos de Nueva York: Mejor dirección
2020: Asociación de Críticos de Los Angeles: Mejor dirección
2020: Sindicato de Productores (PGA): Mejor película
2020: Sindicato de Directores (DGA): Mejor dirección
2020: Sindicato de Actores (SAG): Nominada a Mejor actriz (McDormand)
2020: National Society of Film Critics: Mejor película, dirección, actriz y fotografía
2020: Asociación de Críticos de Chicago: 5 premios, inc. Mejor película y dirección
2020: Asociación de Críticos de Boston: Mejor película, dirección y fotografía
2020: British Independent Film Awards (BIFA): Mejor pel. intern. independiente
2020: Premios Gotham: Mejor película y Premio del público
2020: Satellite Awards: Mejor película, dirección y actriz. 8 nominaciones"
"Marvel Studios: Assembled: The Making of The Falcon and the Winter Soldier","2021","62 min.","Estados Unidos",NA,NA,NA,"Sean Ricigliano","Documental, Janeshia Adams-Ginyard, Dani Deetté. intervenciones de: Daniel Brühl, Kevin Feige, Olli Haaskivi, Henry Jackman, Anthony Mackie, Wyatt Russell, Kari Skogland, Sebastian Stan, Emily Vancamp","Marvel Studios. Distribuidora: Disney+","Documental | Documental sobre cine. MCU. Episodio de TV","Documental sobre la creación de la serie ""Falcon y el Soldado de Invierno"".",NA,NA
"Star Wars. The Bad Batch: Aftermath","2021","70 min.","Estados Unidos","Steward Lee, Saul Ruiz, Nathaniel Villanueva","Dave Filoni, Jennifer Corbett","Kevin Kiner","Animación","Animación","Disney+, Lucasfilm Animation, Lucasfilm. Distribuidora: Disney+","Animación. Ciencia ficción. Acción | Star Wars. Episodio de TV","Los clones de La Remesa Mala se encuentran en una galaxia cambiante tras las Guerras Clon. Episodio piloto de la serie de Dave Filoni ""Star Wars: La Remesa Mala"", de doble duración y estrenado el 4 de mayo de 2021 en Disney+.","""El episodio piloto captura mucho de lo que hizo de 'Clone Wars' algo tan genial (incluyendo su estilo de animación) pero también sus errores. Si aún así deseas ver más del estilo de 'Clone Wars' en 2021, esta serie es para ti."" 
Jesse Schedeen: IGN",NA
"22 vs. Earth","2021","5 min.","Estados Unidos","Kevin Nolting","Josh Cooley","Trent Reznor, Atticus Ross","Animación, Andy Grisdale, Luke Martorelli","Animación","Pixar Animation Studios, Walt Disney Pictures. Distribuidora: Disney+","Animación. Comedia. Fantástico | Precuela. Pixar. Cortometraje (animación)","Antes de los acontecimientos narrados en ""Soul"" de Pixar, 22 se niega a ir a la Tierra y decide reclutar a cinco almitas para su intento de rebelión. Sin embargo, mientras las actividades de sus secuaces van conduciendo a desenlaces inesperados, la turbulenta conspiración de 22 podría dar lugar a una sorprendente revelación sobre el propósito de la vida.",NA,NA
"Big Shot","2021",NA,"Estados Unidos","David E. Kelley (Creador), Dean Lorey (Creador), Bill D'Elia, Viet Nguyen","Cary Bickley, Kate Heckman, David E. Kelley, Dean Lorey, Leslie Schapira, Jacquie Walters, Erin Weller, Alyson Fouse. Historia: Cary Bickleyver 5 más","Alexis Grapsas","Alison Kelly, Michael A. Price","John Stamos, Jessalyn Gilsig, Yvette Nicole Brown, Tisha Custodio, Monique Green, Sophia Mitri Schloss, Cricket Wampler, Darcy Rose Byrnes, Dale Whibley, Jeffrey D. Sams, Tiana Le, Amy Pietz, Michael Trucco, Victoria Washington, Sara Amini, Shiri Appleby, Randall Bacon, Hymnson Chan, Paul Edney, Jan Hoag, Emery Kelly, Jay Neal, Richard Robichaux, Keala Settlever 11 más","American Broadcasting Company (ABC). Distribuidora: Disney+, Walt Disney Television","Serie de TV. Comedia. Drama | Deporte. Baloncesto","Un temperamental entrenador de baloncesto universitario despedido de su trabajo, se ve obligado aceptar un trabajo de maestro y entrenamiento en un instituto privado de élite para chicas.","""Es más graciosa de lo que el tráiler te puede hacer creer (...) Los tres episodios que he visto despliegan una estructura útil y agradable"" 
Kristen Baldwin: Entertainment Weekly
""Sus historias convencionales encuentran la manera de ser interesantes desarrollando de forma honesta las nuevas relaciones que forma Marvyn"" 
Saloni Gajjar: AV Club
""Me pareció razonablemente efectiva, aunque al mismo tiempo sentí que era más un esbozo que una serie completa con un mundo con personajes desarrollados."" 
Daniel Fienberg: The Hollywood Reporter
""En teoría, tiene todos los ingredientes para ser una serie significativa para la Gen Z. Tiene arcos narrativos agradables, tiene drama y también algunos personajes muy buenos."" 
Tanzim Pardiwalla: Mashable
""Lo primero que hace uno es preguntarse hasta qué punto ha participado David E. Kelley en un proyecto tan poco desarrollado"" 
Daniel D'Addario: Variety
""'Big Shot' sabe que nos interesa más ver a un equipo unido que un intento de reinventar el juego y eso nos inspira a aceptar sus clichés sin demasiado cinismo."" 
Nick Allen: rogerebert.com
""El problema es que no sabe cómo hacer que Marvyn sea malo (…) Puntuación: ★★½ (sobre 5)"" 
Alan Sepinwall: Rolling Stone",NA
"Star Wars: Clone Wars","2003","127 min.","Estados Unidos","Genndy Tartakovsky (Creador), Genndy Tartakovsky","Bryan Andrews, Darrick Bachman, George Lucas, Paul Rudish, Genndy Tartakovsky. Personajes: George Lucas","Paul Dinletir, James L. Venable. Tema: John Williams","Animación","Animación","Lucasfilm. Emitida por: Cartoon Network","Serie de TV. Animación. Ciencia ficción. Aventuras. Acción | Star Wars. Miniserie de TV","Serie de TV (2003-2005). 3 temporadas. 25 episodios. Esta micro-serie animada, dirigida por Genndy Tartakovsky, refleja la visión de George Lucas en un estilo dinámico. ""Star Wars: Clone Wars"" relata las aventuras épicas que se desarrollan entre ""Star Wars: Episodio II:­ El ataque de los clones"" y ""Star Wars: Episodio III:­ La venganza de los Sith"". Sigue a los intrépidos Caballeros Jedi y a los valientes soldados del ejército de clones de la República en sus enfrentamientos con las fuerzas droides de los Separatistas, dirigidas por el malvado Lord Sith, Conde Dooku. Sé testigo de las batallas que convirtieron en héroes a Anakin Skywalker y a Obi-Wan Kenobi, y conoce la nueva amenaza que aparecerá en el Episodio III, el General Grievous. ","""Aunque el universo de 'Star Wars' se sigue expandiendo, ningún producto ha exprimido las posibilidades de esta aventura de ciencia ficción y fantasía como lo ha hecho 'Clone Wars'."" 
Eric Kohn: IndieWire
""Si te gustó 'Star Wars', la disfrutarás. En lo que respecta a extender la franquicia y atraer a una nueva generación de fans, definitivamente la Fuerza está con George Lucas"" 
Barry Garron: The Hollywood Reporter","2006: Annie a la mejor serie de televisión animada"
"Besos al aire","2021","160 min.","España","Ignacio Mercero","Darío Madrona",NA,"Jaime Pérez Fernández","Paco León, Leonor Watling, María León, Mariam Hernández, David Castillo, Nuria Herrero, Nancho Novo, Gracia Olayo, Zoe Stein, Gloria Muñoz, José Ángel Egido, Pau Durà, Jaime Olías, Loreto Mauleón, Mariano Venancio, Ruth Díaz, Luna Fulgencio, Fran Berenguer, Ariana Martínez, Inma Isla, Jordi Planas, Alejandro Sigüenza, Alejandro Tous, Luis Fernández de Eribever 11 más","Mediaset España, Alea Media. Distribuidora: Disney+","Serie de TV. Drama. Romance | Miniserie de TV. Historias cruzadas. Coronavirus (COVID-19). Medicina","Miniserie de TV (2021). 2 episodios. Narra la historia de varias personas, sin ninguna relación entre sí, durante la pandemia del coronavirus. Entre los relatos se incluyen la difícil convivencia entre una adolescente rebelde y vegana con sus abuelos, el amor improbable entre una trabajadora de supermercado y su conflictiva vecina, y un joven que adopta un perro viejo y lento para hacer negocio, entre otras. La historia que marca el nexo común de la serie y enlaza a las demás es la de Javi (Paco León), un auxiliar de enfermería idealista y romántico que se enamora de la distante y estricta Doctora Cabanas (Leonor Watling).

Estreno en Star (canal asociado a Disney+): marzo 2021.",NA,NA
"The Mighty Ducks: Game Changers","2021","32 min.","Estados Unidos","Michael Spiller, Jay Karas, James Griffiths","Steven Brill, Josh Goldsmith, Cathy Yuspa",NA,"Seamus Tierney","Emilio Estévez, Lauren Graham, Brady Noon, Swayam Bhatia, Taegen Burns, Julee Cerda, Bella Higginbotham, Luke Islam, Kiefer O'Reilly, Maxwell Simkins, De'Jon Watts, Kasra Wong, Lia Frankland, Emily Haine, Hayley Lee, Camillia Mahal, Zenon Brown, Forrest Rozitis, Amy Goodmurphy, Jane Stanton Hitchcock, Rochelle Greenwood, Courtney Richter, Paul Almeida, Anthony Harrison, Malaika Jackson, Devon Kenzo, Tyson Larter, Callum Lawrence, Joe MacLeod, Dylan Playfair, Collin Joever 18 más","ABC Signature Studios, Brillstein Entertainment Partners. Distribuidora: Disney+","Serie de TV. Comedia. Drama | Deporte. Hockey sobre hielo","10 episodios. Cuando Evan, de 12 años, no es seleccionado para el equipo de hockey, su madre le anima a formar un nuevo equipo con Gordon Bombay, el entrenador original de los Ducks.
","""No es suficientemente épica para ser un bombazo de Disney +, pero es la clase de trabajo sólido que ayudará a establecer el servicio como no solo casa que construyó Baby Yoda, sino el hogar del buen entretenimiento"" 
Liz Shannon Miller: Collider
""De visionado obligatorio para los fans de la icónica trilogía de los 90 (...) Una de las series más disfrutables de 2021"" 
Josh Sorokach: Decider
""Su humor, extremadamente amable, no tiene mucho con lo que trabajar. Pero Graham está encantadora, como siempre, incluso con el escaso material (...) Puntuación: ★★½ (sobre 5)"" 
Alan Sepinwall: Rolling Stone
""No cambia las reglas del juego. Pero es una delicia"" 
Amy Amatangelo: Paste Magazine
""Hace lo mismo que las películas y lo hace de manera respetuosa (...) Después de ver tres capítulos, me pareció discretamente agradable, pero con muy poco impulso narrativo."" 
Daniel Fienberg: The Hollywood Reporter
""Al subvertir la premisa del material original e incluir a Bombay, la serie actualiza de forma inteligente y oportuna una historia atemporal de tipos buenos que pasan desapercibidos"" 
Caroline Framke: Variety
""Lo que la eleva -y la acerca al siglo XXI- es que se centra en los padres hipercompetitivos y la presión que eso pone en los niños"" 
Brian Lowry: CNN
Mostrar 5 críticas más",NA
"Marvel Studios: Assembled: The Making of WandaVision","2021","58 min.","Estados Unidos",NA,NA,NA,"Sean Ricigliano","Documental, intervenciones de: Christophe Beck, Paul Bettany, Baylen D. Bielitz, Gavin Borders, Kat Dennings, Kevin Feige, Kathryn Hahn, Julian Hilliard, Jett Klyne, Elizabeth Olsen, Randall Park, Teyonah Parris, Evan Peters, Matt Shakman","Marvel Studios. Distribuidora: Disney+","Documental | Documental sobre cine. MCU. Episodio de TV","Documental sobre la creación de la serie ""WandaVision"".","""'Assembled' promete ser una serie entretenida que ofrecerá a los aficionados del MCU un vistazo a sus series y películas favoritas (...) Y 'WandaVision' es una serie tan compleja que vale la pena echar un vistazo a lo que esconde entre bastidores."" 
Joel Keller: Decider",NA
"The Falcon and the Winter Soldier","2021","50 min.","Estados Unidos","Malcolm Spellman (Creador), Kari Skogland","Malcolm Spellman, Derek Kolstad, Michael Kastelein, Dalan Musson. Personajes: Stan Lee, Jack Kirby","Henry Jackman","P.J. Dillon","Anthony Mackie, Sebastian Stan, Wyatt Russell, Erin Kellyman, Danny Ramirez, Adepero Oduye, Don Cheadle, Daniel Brühl, Emily Vancamp, Florence Kasumba, Julia Louis-Dreyfus, Desmond Chiam, Dani Deetté, Renes Rivera, Tyler Dean Flores, Noah Mills, Amy Aquino, Chase River McGhee, Aaron Haynes, Alphie Hyorth, Clé Bennett, Carl Lumbly, Elijah Richardson, Gabrielle Byndloss, Ken Takemoto, Miki Ishikawa, Ness Bautista, Neal Kodinsky, Veronica Falcón, Olli Haaskivi, Nicholas Pryor, Janeshia Adams-Ginyard, Zola Williams, Salem Murphy, Jane Rumbaua, Sara Hainesver 23 más","Marvel Studios. Productor: Kevin Feige, Malcolm Spellman. Distribuidora: Disney+","Serie de TV. Acción. Ciencia ficción. Drama | Superhéroes. Cómic. Marvel Comics. MCU. Racismo. Spin-off. Miniserie de TV","Miniserie de TV. 6 episodios. Se centra en las aventuras de dos personajes del MCU (Universo Cinematográfico de Marvel): Falcon y Soldado de Invierno. Seis meses después de recibir el manto del Capitán América, Sam Wilson se une a Bucky Barnes en una aventura que pondrá a prueba sus habilidades, destrezas y paciencia. ","""Una aventura de acción convencional pero muy entretenida y que promete, al menos en su primer episodio, una expansión de 'Avengers' que hará las delicias de los aficionados (…) Puntuación: ★★★ (sobre 5)"" 
Benjamin Lee: The Guardian
""[Primer episodio]: La serie promete (...) Tiene más carácter que los últimos productos de Marvel, además de analizar las consecuencias de los terribles actos que los superhéroes tienen que soportar."" 
Daniel D'Addario: Variety
""[Primer episodio]: Es una peli de 'colegas' que funciona con el piloto automático puesto (...) Esto debería ser suficiente para contentar a la horda de fanáticos del Universo Marvel, pero conectar con el resto de espectadores será más difícil."" 
Ben Travers: IndieWire
""[Primer episodio]: Un comienzo impactante con dos héroes muy prometedores"" 
Daniel Fienberg: The Hollywood Reporter
""Es un primer capítulo más tradicional que el que inauguró 'WandaVision', pero ofrece un contenido muy prometedor (…) Puntuación: ★★★ (sobre 5)"" 
Nick De Semlyen: Empire
""[Primer episodio]: Todavía tiene que alcanzar su altitud de crucero adecuada, pero por el momento es un ascenso lento y exento de problemas que lleva al espectador a un destino nuevo y emocionante."" 
Lorraine Ali: Los Angeles Times
""[Primer episodio]: Da la impresión de estar pensada para mantener a los aficionados enganchados a ella durante el tiempo que falta para que llegue el próximo soporte de Marvel, que parece ser exactamente lo que pretende Kevin Feige."" 
Jen Chaney: Vulture
Mostrar 10 críticas más","2021: Emmy: Nominada a mejor actor invitado drama (Don Cheadle)
2021: Sindicato de Actores (SGA): Nominada mejores especialistas de acción (Series)"
"Helstrom","2020","45 min.","Estados Unidos","Anders Engström","Paul Zbyszewski, John Romita Sr.","Danny Bensi, Saunder Jurriaans","Bernard Couture","Kyle Warren, Xavier De Salaberry, Fiona Dourif, Arkie Kandola, Tarun Keram, David Meunier, Tom Austen, June Carryl, Ariana Guerra, Eric Gustafsson, Elizabeth Marvel, Alain Uy, Zachary S. Williams, Robert Wisdom, Jesse James Baldwin, Daniel Cudmore, Jessie Fraser, Sydney Lemmonver 5 más","ABC Signature Studios, Marvel Television. Distribuidora: Hulu","Serie de TV. Acción. Drama. Thriller | Sobrenatural. Cómic. Marvel Comics","Serie de TV (2020). 10 episodios. Daimon y Ana Helstrom son hijo e hija de un misterioso y poderoso asesino en serie. Los hermanos tienen una dinámica complicada mientras rastrean lo peor de la humanidad aterradora, cada uno con su actitud y habilidades. 

Estreno: 16 de octubre en Hulu.","""Plantea la siguiente cuestión: ¿qué pasaría si Marvel tratase de combinar la 'Lucifer' de DC con la serie de 'Constantine' sin el encanto de ninguna de las dos?"" 
Rosie Knight: Den of Geek
""Un thriller sobre posesión demoníaca que resulta adusto y totalmente monótono, una serie que trata los superpoderes y los exorcismos con la narrativa y la chispa estética que esperarías de una crónica de la minería de carbón"" 
Daniel Fienberg: The Hollywood Reporter
""Realmente es mejor exorcizando cualquier conexión obvia con los cómics, pero lucha para encontrar algo especial y único que llene ese vacío"" 
Sam Barsanti: AV Club
""Mantiene un nivel consistente de misterio y suspense (...) Si buscas un atracón de horror que se digiera fácil para este Halloween, no puedo recomendarla más"" 
Sadie Gennis: TV Guide
""Atronadoramente aburrida (...) En lugar de ser una serie cómic de horror apasionante, sus autores han embutido la trama en un somnífero"" 
Andrew Crump: The Playlist
""Una serie de terror aburrida y que no da miedo (...) Es demasiado tediosa como para subir el pulso a nadie."" 
Vikram Murthi: Variety
""Una serie confusa y torpe (...) Aunque no tiene la misma intensidad que 'The Boys', su historia merece la pena (...) Puntuación: ★★★ (sobre 5)"" 
Daniel Hart: Ready Steady Cut
""Ni los humanos, ni los demonios, tienen mucha personalidad en 'Helstrom' (...) Demasiado inconexa para ser disfrutable y demasiado inconsistente para ser fascinante (...) Puntuación: 
Roxana Hadadi: rogerebert.com",NA
"Solar Opposites","2020","22 min.","Estados Unidos","Justin Roiland (Creador), Mike McMahan (Creador)","Mike McMahan, Justin Roiland",NA,"Animación","Animación","20th Century Fox Television, Walt Disney Television, Fox Television Animation, Justin Roiland's Solo Vanity Card Productions. Distribuidora: Hulu","Serie de TV. Animación. Comedia. Ciencia ficción | Extraterrestres. Animación para adultos","Serie de TV (2020-Actualidad). 2 temporadas. 16 episodios. Del cocreador de ""Rick y Morty"", Justin Roiland, ""Solar Opposites"" es una serie en la que una familia de extraterrestres trata de encajar en ""este agujero de basura infectado de humanos llamado Tierra"". ","""[Críticas 2ª temporada]: Mantiene la mezcla de momentos violentos e irreverentes con una lluvia de bromas rápidas y un tipo de sentimentalismo totalmente honesto."" 
Alex McLevy: AV Club
""[Críticas 2ª temporada]: Si te gustó la primera no cabe duda que esta te encantará, pero si no, no encontrarás aquí mucho material que te haga cambiar de opinión."" 
Greg Wheeler: The Review Geek
""[Críticas 2ª temporada]: Es como la primera, solo que más grande, alocada y divertida (…) Puntuación: ★★★★★ (sobre 5)"" 
Joe Matar: Den of Geek
""Puede que no sea el nuevo hito cultural en el que se ha convertido 'Rick and Morty', pero cuando el reparto, el guion y la animación tienen tanta calidad, no necesita serlo (…) Puntuación: ★★★★ (sobre 5)"" 
Dave Trumbore: Collider
""Creada a imagen y semejanza de 'Rick and Morty', pero con personalidad propia, la serie ofrece una primera temporada hilarante y segura de sí misma (…) Puntuación: ★★★★★ (sobre 5)"" 
Joe Matar: Den of Geek
""Te hará reír hasta el punto de tener que pararla para coger algo de aire, y además ofrece algunos giros inesperados que la convierten en un visionado obligatorio."" 
Ethan Anderton: SlashFilm
""Original, divertida y refrescantemente absurda (...) no trata de reinventar la rueda de las sitcom animadas. Sólo pretende ser un ejercicio bienintencionado de comedia ingeniosa y cálida."" 
Alex McLevy: AV Club
Mostrar 6 críticas más",NA
"Flora and Ulysses","2021","95 min.","Estados Unidos","Lena Khan","Brad Copeland. Novela: Kate DiCamillo","Jake Monaco","Andrew Dunn","Ben Schwartz, Alyson Hannigan, Kate Micucci, Danny Pudi, Bobby Moynihan, Darien Martin, Christine Lee, Nancy Robertson, David Milchard, Craig Haas, Carolyn Yonge, Matilda Lawler, Benjamin Evan Ainsworth, Kyle Strauts, Arran Henn, Malaika Jackson, Jesse Reid, Arkie Kandola, Nicholas Dohy, John Kassir, Simon Chinver 8 más","Walt Disney Pictures, Netter Productions. Distribuidora: Disney+","Infantil. Comedia. Fantástico | Cine familiar","Las aventuras de una niña y una ardilla con superpoderes.","""Una adorable película Disney (...) Está cerca de caer en la trampa de cursilería en la que suelen encontrarse las películas de niños de este género; pero, milagrosamente, no lo hace"" 
Maya Phillips: The New York Times
""Sus poderes superheroicos vienen de sus personajes adorables y excéntricos, su humor alocado y sus amables reflexiones sobre encontrar el optimismo cuando las cosas van mal (...) Puntuación: ★★★½ (sobre 4)"" 
Nell Minow: rogerebert.com
""Un original del Disney de la vieja escuela (...) Es simultáneamente extraordinario ver lo lejos que ha llegado la tecnología; y descorazonador darte cuenta de lo poco que ha evolucionado lo narrativo"" 
Peter Debruge: Variety
""Una historia tierna y creativa, llena de resonancias narrativas clásicas y suficiente relleno nuevo para atraer a un público amplio"" 
Kate Erbland: IndieWire
""Esta inerte adaptación carece de la imaginación del material de origen"" 
Jared Mobarak: The Film Stage
""Juzgada por el tolerante estándar de películas decentes para ver en casa con niños, 'Flora' aprueba por los pelos"" 
Stephen Whitty: Screendaily
""Dudo que gane algún premio, pero es encantadora"" 
John Serba: Decider
Mostrar 2 críticas más",NA
"Marvel's Behind the Mask","2021",NA,"Estados Unidos","Michael Jacobs",NA,"Mondo Boys",NA,"Documental","Marvel New Media, Strike Anywhere, Tarmac Creative. Distribuidora: Disney+, Marvel Entertainment","Documental | Marvel Comics","Presenta a los escritores y artistas que están detrás de personajes como Black Panther, Miles Morales, Ms. Marvel, Luke Cage, los X-Men, Capitana Marvel y muchos otros pertenecientes al Universo Marvel, subrayando su impacto en la cultura pop. ",NA,NA
"Pixar Popcorn","2021","3 min.","Estados Unidos","Adam Rodriguez, James Ford Murphy, Michal Makarewicz, Christopher Chua, Robert H. Russ, Alan Barillaro, Allison Rutland, Juan Carlos Navarro Carrión, Jae Hyung Kim",NA,"Thomas Newman, Michael Giacchino, Trent Reznor, Atticus Ross","Animación, Adam Habib, Jean-Claude Kalache, Max Bickley, Alexander Curtis, Andrea Goh, Mike Leonard","Animación","Pixar Animation Studios. Distribuidora: Disney+","Serie de TV. Animación. Comedia | Serie de antología. Pixar","Serie de diez cortos protagonizada por personajes de Pixar, basados en películas como ""Cars"", ""Los Increíbles"", ""Toy Story"" o ""Buscando a Nemo"".","""Es como una bolsa de palomitas en la que encontramos de todo: algunas están riquísimas, mientras que otras no terminan de hacerse por completo (…) Puntuación: ★★★ (sobre 5)"" 
Ashley Moulton: Common Sense Media",NA
